Secuencia;Unidad;Eventos;Fecha;Pt. Referencia;Dirección;Velocidad;Temperatura;Conductor;Latitud;Longitud
3387;WGH169;Viaje detenido;Dec 26 2025 12:05 PM;;Entrada A La Cl147-82, Bogota, Cundinamarca;0;N/A;;4.7229703000;-74.0262233000
3386;WGH169;Conduciendo;Dec 26 2025 12:04 PM;;Kr7 152-65, Bogota, Cundinamarca;28;N/A;;4.7271193000;-74.0248155000
3385;WGH169;Conduciendo;Dec 26 2025 12:04 PM;;Via Principal-54, Bogota, Cundinamarca;12;N/A;;4.7276635000;-74.0246905000
3384;WGH169;Inmóvil - Detenido;Dec 26 2025 12:03 PM;;Calle 153 # 6-2 a 6-100, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7274495000;-74.0237176000
3383;WGH169;Inicio de Viaje;Dec 26 2025 12:03 PM;;Kr6 153-39, Bogota, Cundinamarca, Colombia;8;N/A;;4.7276155000;-74.0236556000
3382;WGH169;Alerta de Inmovilidad;Dec 26 2025 12:01 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281851000;-74.0239553000
3381;WGH169;Inmóvil - Detenido;Dec 26 2025 11:59 AM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281493000;-74.0239441000
3380;WGH169;Ignición Encendida;Dec 26 2025 11:56 AM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281716000;-74.0239046000
3379;WGH169;Ignición Apagada;Dec 26 2025 11:56 AM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281715000;-74.0239040000
3378;WGH169;Ignición Encendida;Dec 26 2025 11:55 AM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281778000;-74.0238983000
3377;WGH169;Estacionado;Dec 26 2025 07:59 AM;;Cl. 153a #6-51, Bogotá, Colombia;0;N/A;;4.7280853000;-74.0238301000
3376;WGH169;Estacionado;Dec 26 2025 03:59 AM;;Carrera 6 # 153A-1 a 153A-99, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7281895000;-74.0237826000
3375;WGH169;Estacionado;Dec 25 2025 11:59 PM;;Cl. 153a #7-98, Bogotá, Bogotá, Colombia;0;N/A;;4.7280911000;-74.0237590000
3374;WGH169;Estacionado;Dec 25 2025 07:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281406000;-74.0238346000
3373;WGH169;Estacionado;Dec 25 2025 03:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281903000;-74.0238136000
3372;WGH169;Estacionado;Dec 25 2025 11:59 AM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281350000;-74.0238390000
3371;WGH169;Estacionado;Dec 25 2025 07:59 AM;;Cl. 153a #7-98, Bogotá, Bogotá, Colombia;0;N/A;;4.7280838000;-74.0237851000
3370;WGH169;Estacionado;Dec 25 2025 03:59 AM;;Carrera 6 # 153A-1 a 153A-99, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7281238000;-74.0237393000
3369;WGH169;Estacionado;Dec 24 2025 11:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281648000;-74.0238025000
3368;WGH169;Estacionado;Dec 24 2025 07:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281538000;-74.0238211000
3367;WGH169;Estacionado;Dec 24 2025 03:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281726000;-74.0238206000
3366;WGH169;Estacionado;Dec 24 2025 11:59 AM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281685000;-74.0238918000
3365;WGH169;Estacionado;Dec 24 2025 07:59 AM;;Cl. 153a #7-98, Bogotá, Bogotá, Colombia;0;N/A;;4.7280958000;-74.0237955000
3364;WGH169;Estacionado;Dec 24 2025 03:59 AM;;Cl. 153a #6-2 a 6-84, Bogotá, Bogotá, Colombia;0;N/A;;4.7282695000;-74.0238230000
3363;WGH169;Estacionado;Dec 23 2025 11:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281038000;-74.0238146000
3362;WGH169;Estacionado;Dec 23 2025 07:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281446000;-74.0238118000
3361;WGH169;Estacionado;Dec 23 2025 03:59 PM;;Kr6 153a, Bogota, Cundinamarca, Colombia;0;N/A;;4.7281693000;-74.0238261000
3360;WGH169;Ignición Apagada;Dec 23 2025 03:49 PM;;Carrera 6 # 153A-1 a 153A-99, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7281258000;-74.0237961000
3359;WGH169;Viaje detenido;Dec 23 2025 03:48 PM;;Cl. 153a #6-2 a 6-84, Bogotá, Bogotá, Colombia;0;N/A;;4.7282461000;-74.0238873000
3358;WGH169;Inicio de Viaje;Dec 23 2025 03:47 PM;;Kr7 153-60, Bogota, Cundinamarca, Colombia;17;N/A;;4.7282998000;-74.0239621000
3357;WGH169;Viaje detenido;Dec 23 2025 03:46 PM;;Kr7 153-47, Bogota, Cundinamarca;0;N/A;;4.7281606000;-74.0245056000
3356;WGH169;Inicio de Viaje;Dec 23 2025 03:45 PM;;Kr7 155-73, Bogota, Cundinamarca;33;N/A;;4.7307016000;-74.0239663000
3355;WGH169;Viaje detenido;Dec 23 2025 03:44 PM;;Kr7 156, Bogota, Cundinamarca;0;N/A;;4.7319063000;-74.0238560000
3354;WGH169;Conduciendo;Dec 23 2025 03:44 PM;;Kr7 156, Bogota, Cundinamarca;17;N/A;;4.7320686000;-74.0238826000
3353;WGH169;Conduciendo;Dec 23 2025 03:43 PM;;Kr7 160a-75, Bogota, Cundinamarca;24;N/A;;4.7359820000;-74.0243226000
3352;WGH169;Conduciendo;Dec 23 2025 03:43 PM;;Cl161 7-18, Bogota, Cundinamarca;9;N/A;;4.7362078000;-74.0242948000
3351;WGH169;Inicio de Viaje;Dec 23 2025 03:42 PM;;Cl161 7f-11, Bogota, Cundinamarca;22;N/A;;4.7365581000;-74.0255166000
3350;WGH169;Viaje detenido;Dec 23 2025 03:42 PM;;Cl161 7g-38, Bogota, Cundinamarca;0;N/A;;4.7368445000;-74.0267085000
3349;WGH169;Inicio de Viaje;Dec 23 2025 03:41 PM;;Kr8b 161-5, Bogota, Cundinamarca;20;N/A;;4.7372856000;-74.0281568000
3348;WGH169;Viaje detenido;Dec 23 2025 03:40 PM;;Cl161 8c-16, Bogota, Cundinamarca;4;N/A;;4.7374926000;-74.0289403000
3347;WGH169;Inicio de Viaje;Dec 23 2025 03:39 PM;;Cl161 8g-23, Bogota, Cundinamarca;9;N/A;;4.7379605000;-74.0308268000
3346;WGH169;Viaje detenido;Dec 23 2025 03:38 PM;;Cl161 9-32, Bogota, Cundinamarca;0;N/A;;4.7382800000;-74.0322873000
3345;WGH169;Inicio de Viaje;Dec 23 2025 03:37 PM;;Cl161 15-4, Bogota, Cundinamarca;25;N/A;;4.7396138000;-74.0374485000
3344;WGH169;Viaje detenido;Dec 23 2025 03:36 PM;;Cl161 15-95, Bogota, Cundinamarca;0;N/A;;4.7398130000;-74.0388090000
3343;WGH169;Inicio de Viaje;Dec 23 2025 03:36 PM;;Cl161 16a-6, Bogota, Cundinamarca, Colombia;14;N/A;;4.7398623000;-74.0389796000
3342;WGH169;Viaje detenido;Dec 23 2025 03:34 PM;;Kr16c 161-54, Bogota, Cundinamarca;0;N/A;;4.7404375000;-74.0399256000
3341;WGH169;Conduciendo;Dec 23 2025 03:34 PM;;Cl161a 16a-88, Bogota, Cundinamarca, Colombia;12;N/A;;4.7407205000;-74.0397883000
3340;WGH169;Conduciendo;Dec 23 2025 03:33 PM;;Kr16a 161a-7, Bogota, Cundinamarca;0;N/A;;4.7405633000;-74.0387495000
3339;WGH169;Conduciendo;Dec 23 2025 03:32 PM;;Cl164 16-64, Bogota, Cundinamarca;12;N/A;;4.7432735000;-74.0380253000
3338;WGH169;Conduciendo;Dec 23 2025 03:32 PM;3. PROING - BOGOTA P1;Kr16 164-30, Bogota, Cundinamarca;12;N/A;;4.7432826000;-74.0378213000
3337;WGH169;Salida de Geocerca;Dec 23 2025 03:32 PM;3. PROING - BOGOTA P1;Kr16 164-30, Bogota, Cundinamarca;12;N/A;;4.7432826000;-74.0378213000
3336;WGH169;Saliendo de Landmark;Dec 23 2025 03:32 PM;3. PROING - BOGOTA P1;16b14 Calle 166;12;N/A;;4.7432826000;-74.0378213000
3335;WGH169;Inicio de Viaje;Dec 23 2025 03:32 PM;;Kr16 164a-37, Bogota, Cundinamarca, Colombia;17;N/A;;4.7436143000;-74.0377110000
3334;WGH169;Alerta de Inmovilidad;Dec 23 2025 03:29 PM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7452200000;-74.0378635000
3333;WGH169;Entrada a Geocerca;Dec 23 2025 03:27 PM;3. PROING - BOGOTA P1;Cl166 16-47, Bogota, Cundinamarca, Colombia;0;N/A;;4.7452373000;-74.0378818000
3332;WGH169;Inmóvil - Detenido;Dec 23 2025 03:27 PM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7452373000;-74.0378818000
3331;WGH169;Entrando a Landmark;Dec 23 2025 03:24 PM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7452455000;-74.0379388000
3330;WGH169;Viaje detenido;Dec 23 2025 03:24 PM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7452455000;-74.0379388000
3329;WGH169;Inicio de Viaje;Dec 23 2025 03:22 PM;;Cl166 17-47, Bogota, Cundinamarca;14;N/A;;4.7457838000;-74.0403333000
3328;WGH169;Viaje detenido;Dec 23 2025 03:21 PM;;Cl166 19-86, Bogota, Cundinamarca;0;N/A;;4.7462711000;-74.0426303000
3327;WGH169;Conduciendo;Dec 23 2025 03:19 PM;;Cl170 19b-14, Bogota, Cundinamarca;17;N/A;;4.7501383000;-74.0422021000
3326;WGH169;Conduciendo;Dec 23 2025 03:19 PM;;Calle 170 # 19B-1 a 19B-99, Bogotá, Cundinamarca, Colombia;16;N/A;;4.7502005000;-74.0422301000
3325;WGH169;Conduciendo;Dec 23 2025 03:17 PM;;Cl170-18, Bogota, Cundinamarca;9;N/A;;4.7517035000;-74.0481600000
3324;WGH169;Conduciendo;Dec 23 2025 03:17 PM;;Entrada A La Cl169-50, Bogota, Cundinamarca;0;N/A;;4.7513161000;-74.0482326000
3323;WGH169;Conduciendo;Dec 23 2025 03:17 PM;;Entrada A La Cl170-59, Bogota, Cundinamarca;30;N/A;;4.7510200000;-74.0475541000
3322;WGH169;Conduciendo;Dec 23 2025 03:17 PM;;Av Autonorte 169-77, Bogota, Cundinamarca, Colombia;14;N/A;;4.7509850000;-74.0470425000
3321;WGH169;Inicio de Viaje;Dec 23 2025 03:16 PM;;Av Autonorte 173-26, Bogota, Cundinamarca;37;N/A;;4.7541408000;-74.0465765000
3320;WGH169;Viaje detenido;Dec 23 2025 03:15 PM;;Av Autonorte 174b-36, Bogota, Cundinamarca;0;N/A;;4.7554723000;-74.0463745000
3319;WGH169;Inicio de Viaje;Dec 23 2025 03:13 PM;;Av Autonorte 183-32, Bogota, Cundinamarca;22;N/A;;4.7625918000;-74.0449721000
3318;WGH169;Viaje detenido;Dec 23 2025 03:12 PM;;Cl185 45-23, Bogota, Cundinamarca;0;N/A;;4.7633211000;-74.0452998000
3317;WGH169;Inicio de Viaje;Dec 23 2025 03:11 PM;;Cl185 45-72, Bogota, Cundinamarca;9;N/A;;4.7634535000;-74.0461241000
3316;WGH169;Inmóvil - Detenido;Dec 23 2025 03:10 PM;;Cl185 49-71, Bogota, Cundinamarca;0;N/A;;4.7636090000;-74.0473308000
3315;WGH169;Ignición Encendida;Dec 23 2025 03:07 PM;;Cl185 49-57, Bogota, Cundinamarca;0;N/A;;4.7635150000;-74.0472973000
3314;WGH169;Estacionado;Dec 23 2025 03:03 PM;;Calle 185 # 49-1 a 49-99, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7635243000;-74.0474701000
3313;WGH169;Estacionado;Dec 23 2025 11:03 AM;;Cl185 49-71, Bogota, Cundinamarca;0;N/A;;4.7636168000;-74.0473801000
3312;WGH169;Ignición Apagada;Dec 23 2025 10:53 AM;;Cl185 49-80, Bogota, Cundinamarca;0;N/A;;4.7636035000;-74.0474136000
3311;WGH169;Ignición Encendida;Dec 23 2025 10:52 AM;;Calle 185 # 49-1 a 49-99, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7635948000;-74.0474275000
3310;WGH169;Estacionado;Dec 23 2025 10:26 AM;;Cl185 49-71, Bogota, Cundinamarca;0;N/A;;4.7636378000;-74.0473745000
3309;WGH169;Ignición Apagada;Dec 23 2025 10:16 AM;;Cl185 49-71, Bogota, Cundinamarca;0;N/A;;4.7636038000;-74.0473950000
3308;WGH169;Alerta de Inmovilidad;Dec 23 2025 10:15 AM;;Cl185 49-71, Bogota, Cundinamarca;0;N/A;;4.7636031000;-74.0473945000
3307;WGH169;Inmóvil - Detenido;Dec 23 2025 10:13 AM;;Cl185 49-71, Bogota, Cundinamarca;0;N/A;;4.7636063000;-74.0473780000
3306;WGH169;Viaje detenido;Dec 23 2025 10:10 AM;;Cl185 49-80, Bogota, Cundinamarca;0;N/A;;4.7636001000;-74.0474350000
3305;WGH169;Inicio de Viaje;Dec 23 2025 10:09 AM;;Kr51 183-5, Bogota, Cundinamarca;17;N/A;;4.7618525000;-74.0479740000
3304;WGH169;Alerta de Inmovilidad;Dec 23 2025 10:05 AM;;Cl183-95, Bogota, Cundinamarca;0;N/A;;4.7604891000;-74.0461835000
3303;WGH169;Inmóvil - Detenido;Dec 23 2025 10:03 AM;;Cl183-89, Bogota, Cundinamarca;0;N/A;;4.7604863000;-74.0458378000
3302;WGH169;Viaje detenido;Dec 23 2025 10:00 AM;;Cl183-77, Bogota, Cundinamarca;0;N/A;;4.7604788000;-74.0456428000
3301;WGH169;Inicio de Viaje;Dec 23 2025 09:59 AM;;Cl183 20-37, Bogota, Cundinamarca;35;N/A;;4.7604091000;-74.0412071000
3300;WGH169;Viaje detenido;Dec 23 2025 09:58 AM;;Cl183 18a-4, Bogota, Cundinamarca;0;N/A;;4.7603086000;-74.0396636000
3299;WGH169;Conduciendo;Dec 23 2025 09:57 AM;;Cl183 13-72, Bogota, Cundinamarca, Colombia;28;N/A;;4.7605971000;-74.0363491000
3298;WGH169;Conduciendo;Dec 23 2025 09:57 AM;;Kr14bis 183-30, Bogota, Cundinamarca, Colombia;28;N/A;;4.7604093000;-74.0360218000
3297;WGH169;Inicio de Viaje;Dec 23 2025 09:56 AM;;Cl183 9a-72, Bogota, Cundinamarca, Colombia;17;N/A;;4.7602788000;-74.0323436000
3296;WGH169;Viaje detenido;Dec 23 2025 09:55 AM;;Kr9 182a-58, Bogota, Cundinamarca;0;N/A;;4.7599670000;-74.0311140000
3295;WGH169;Conduciendo;Dec 23 2025 09:54 AM;;Calle 182 # 8D-1 a 8D-99, Bogotá, Cundinamarca, Colombia;14;N/A;;4.7588963000;-74.0310915000
3294;WGH169;Conduciendo;Dec 23 2025 09:54 AM;;Cl182 8d-5, Bogota, Cundinamarca;12;N/A;;4.7587826000;-74.0305370000
3293;WGH169;Conduciendo;Dec 23 2025 09:53 AM;;Kr8c 181-13, Bogota, Cundinamarca, Colombia;0;N/A;;4.7572551000;-74.0301071000
3292;WGH169;Conduciendo;Dec 23 2025 09:53 AM;;Cl181 8-54, Bogota, Cundinamarca, Colombia;19;N/A;;4.7572038000;-74.0294848000
3291;WGH169;Conduciendo;Dec 23 2025 09:52 AM;;Kr8 180-9, Bogota, Cundinamarca, Colombia;9;N/A;;4.7571805000;-74.0286811000
3290;WGH169;Conduciendo;Dec 23 2025 09:52 AM;;Calle 180BIS # 7D-2 a 7D-100, Bogotá, Cundinamarca, Colombia;12;N/A;;4.7565986000;-74.0286850000
3289;WGH169;Conduciendo;Dec 23 2025 09:51 AM;;Kr7 179-89, Bogota, Cundinamarca;0;N/A;;4.7561573000;-74.0246805000
3288;WGH169;Conduciendo;Dec 23 2025 09:50 AM;;Kr7 174-16, Bogota, Cundinamarca;24;N/A;;4.7531236000;-74.0242943000
3287;WGH169;Inicio de Viaje;Dec 23 2025 09:48 AM;;Kr7 165, Bogota, Cundinamarca;32;N/A;;4.7419785000;-74.0222496000
3286;WGH169;Viaje detenido;Dec 23 2025 09:47 AM;;Kr7 164-82, Bogota, Cundinamarca;0;N/A;;4.7407808000;-74.0224083000
3285;WGH169;Conduciendo;Dec 23 2025 09:47 AM;;Kr7 164-58, Bogota, Cundinamarca;28;N/A;;4.7403786000;-74.0225963000
3284;WGH169;Conduciendo;Dec 23 2025 09:47 AM;;Kr7 164-27, Bogota, Cundinamarca, Colombia;27;N/A;;4.7397508000;-74.0227073000
3283;WGH169;Inicio de Viaje;Dec 23 2025 09:46 AM;;Kr7 162a-7, Bogota, Cundinamarca;35;N/A;;4.7375565000;-74.0228715000
3282;WGH169;Viaje detenido;Dec 23 2025 09:45 AM;;Cl162 7-73, Bogota, Cundinamarca;0;N/A;;4.7370823000;-74.0237115000
3281;WGH169;Inicio de Viaje;Dec 23 2025 09:44 AM;;Calle 162 # 7F-2 a 7F-100, Bogotá, Cundinamarca, Colombia;22;N/A;;4.7377948000;-74.0259236000
3280;WGH169;Ignición Encendida;Dec 23 2025 09:42 AM;;Cl161 8-50, Bogota, Cundinamarca;0;N/A;;4.7370153000;-74.0276641000
3279;WGH169;Estacionado;Dec 23 2025 09:10 AM;;Cl161 8-50, Bogota, Cundinamarca;0;N/A;;4.7370068000;-74.0276858000
3278;WGH169;Ignición Apagada;Dec 23 2025 09:00 AM;;Cl161 8-50, Bogota, Cundinamarca;0;N/A;;4.7370008000;-74.0276923000
3277;WGH169;Ignición Encendida;Dec 23 2025 08:57 AM;;Calle 161 # 8-1 a 8-99, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7370073000;-74.0277031000
3276;WGH169;Estacionado;Dec 23 2025 08:33 AM;;Cl161 8-43, Bogota, Cundinamarca, Colombia;0;N/A;;4.7369510000;-74.0276663000
3275;WGH169;Ignición Apagada;Dec 23 2025 08:23 AM;;Cl161 8-43, Bogota, Cundinamarca, Colombia;0;N/A;;4.7369610000;-74.0276681000
3274;WGH169;Viaje detenido;Dec 23 2025 08:23 AM;;Cl161 8-43, Bogota, Cundinamarca, Colombia;1;N/A;;4.7369933000;-74.0276541000
3273;WGH169;Conduciendo;Dec 23 2025 08:23 AM;;Cl161 8-43, Bogota, Cundinamarca, Colombia;0;N/A;;4.7369810000;-74.0276448000
3272;WGH169;Inicio de Viaje;Dec 23 2025 08:22 AM;;Cl161 8d-72, Bogota, Cundinamarca;22;N/A;;4.7376595000;-74.0298523000
3271;WGH169;Ignición Encendida;Dec 23 2025 08:22 AM;;Cl161 8g-29, Bogota, Cundinamarca;0;N/A;;4.7379415000;-74.0309078000
3270;WGH169;Ignición Apagada;Dec 23 2025 08:14 AM;;Cl161 8g-29, Bogota, Cundinamarca;0;N/A;;4.7379771000;-74.0309083000
3269;WGH169;Viaje detenido;Dec 23 2025 08:14 AM;;Cl161 8g-29, Bogota, Cundinamarca;0;N/A;;4.7379698000;-74.0309161000
3268;WGH169;Inicio de Viaje;Dec 23 2025 08:13 AM;;Cl161 8g-49, Bogota, Cundinamarca;16;N/A;;4.7380900000;-74.0315205000
3267;WGH169;Viaje detenido;Dec 23 2025 08:13 AM;;Cl161 9-26, Bogota, Cundinamarca;0;N/A;;4.7382538000;-74.0323123000
3266;WGH169;Inicio de Viaje;Dec 23 2025 08:11 AM;;Cl161 15-95, Bogota, Cundinamarca;35;N/A;;4.7398075000;-74.0388760000
3265;WGH169;Viaje detenido;Dec 23 2025 08:10 AM;;Carrera 16C # 161-2 a 161-100, Bogotá Distrito Capital, Cundinamarca, Colombia;0;N/A;;4.7405708000;-74.0398786000
3264;WGH169;Conduciendo;Dec 23 2025 08:10 AM;;Cl161a 16a-96, Bogota, Cundinamarca;0;N/A;;4.7407011000;-74.0398231000
3263;WGH169;Conduciendo;Dec 23 2025 08:09 AM;;Kr16a 161a-7, Bogota, Cundinamarca;9;N/A;;4.7405670000;-74.0387826000
3262;WGH169;Conduciendo;Dec 23 2025 08:08 AM;3. PROING - BOGOTA P1;Cl164 16a-10, Bogota, Cundinamarca;9;N/A;;4.7432083000;-74.0381685000
3261;WGH169;Salida de Geocerca;Dec 23 2025 08:08 AM;3. PROING - BOGOTA P1;Cl164 16a-10, Bogota, Cundinamarca;9;N/A;;4.7432083000;-74.0381685000
3260;WGH169;Saliendo de Landmark;Dec 23 2025 08:08 AM;3. PROING - BOGOTA P1;16b14 Calle 166;9;N/A;;4.7432083000;-74.0381685000
3259;WGH169;Conduciendo;Dec 23 2025 08:08 AM;;Carrera 16B # 164-2 a 164-100, Bogotá, Cundinamarca, Colombia;0;N/A;;4.7434721000;-74.0385733000
3258;WGH169;Inicio de Viaje;Dec 23 2025 08:08 AM;;Kr16b 164-51, Bogota, Cundinamarca, Colombia;20;N/A;;4.7443820000;-74.0384780000
3257;WGH169;Ignición Encendida;Dec 23 2025 08:06 AM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7451568000;-74.0376065000
3256;WGH169;Estacionado;Dec 23 2025 06:55 AM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7451286000;-74.0376371000
3255;WGH169;Ignición Apagada;Dec 23 2025 06:45 AM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7451001000;-74.0376498000
3254;WGH169;Entrada a Geocerca;Dec 23 2025 06:44 AM;3. PROING - BOGOTA P1;Cl166 16-18, Bogota, Cundinamarca;0;N/A;;4.7451115000;-74.0376333000
3253;WGH169;Entrando a Landmark;Dec 23 2025 06:44 AM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7451115000;-74.0376333000
3252;WGH169;Viaje detenido;Dec 23 2025 06:44 AM;3. PROING - BOGOTA P1;16b14 Calle 166;0;N/A;;4.7451115000;-74.0376333000
3251;WGH169;Conduciendo;Dec 23 2025 06:43 AM;;Cl166 15-10, Bogota, Cundinamarca, Colombia;17;N/A;;4.7449743000;-74.0370220000
3250;WGH169;Conduciendo;Dec 23 2025 06:42 AM;;Cl163a 14d-81, Bogota, Cundinamarca;11;N/A;;4.7419906000;-74.0368405000
3249;WGH169;Inicio de Viaje;Dec 23 2025 06:40 AM;;Cl163a 9-13, Bogota, Cundinamarca;20;N/A;;4.7406953000;-74.0324503000
3248;WGH169;Viaje detenido;Dec 23 2025 06:40 AM;;Cl163a 8h-72, Bogota, Cundinamarca;0;N/A;;4.7404645000;-74.0315721000
3247;WGH169;Conduciendo;Dec 23 2025 06:39 AM;;Kr8g 163-86, Bogota, Cundinamarca;14;N/A;;4.7400865000;-74.0300900000
3246;WGH169;Conduciendo;Dec 23 2025 06:39 AM;;Cl163 8f-95, Bogota, Cundinamarca;9;N/A;;4.7396408000;-74.0301400000
3245;WGH169;Conduciendo;Dec 23 2025 06:37 AM;;Cl163 7a-4, Bogota, Cundinamarca, Colombia;14;N/A;;4.7378741000;-74.0240368000
3244;WGH169;Inicio de Viaje;Dec 23 2025 06:37 AM;;Tr7a 162-93, Bogota, Cundinamarca;6;N/A;;4.7378148000;-74.0239678000
3243;WGH169;Viaje detenido;Dec 23 2025 06:36 AM;;Kr7-66, Bogota, Cundinamarca;0;N/A;;4.7367581000;-74.0235225000
3242;WGH169;Conduciendo;Dec 23 2025 06:36 AM;;Kr7 161-83, Bogota, Cundinamarca;25;N/A;;4.7365868000;-74.0236861000
3241;WGH169;Inicio de Viaje;Dec 23 2025 06:35 AM;;Kr7 155-9, Bogota, Cundinamarca;32;N/A;;4.7296771000;-74.0239725000
